gene_id	Adult_Brain	Adult_Head	Adult_Midgut	Adult_Hindgut	Adult_FatBody	Adult_MalpighianTubule	Adult_Carcass	Adult_Ovary	Adult_Testis	Larval_Hindgut	Larval_FatBody	Larval_MalpighianTubule	Larval_Midgut	Larval_Carcass
LOC118262012								0.28191572	0.020641917		0.12140656		0.3007522	
LOC118262013								0.0675842	0.4825192		0.0		0.30367526	
LOC118262016								0.0	4.031989		0.85037076		3.087884	
LOC118262017								0.0	0.0		0.0		0.010073545	
LOC118262018								0.092126265	0.0		0.0		0.0	
LOC118262019								0.013424571	0.0		0.0		0.0	
LOC118262023								0.0	0.0		0.0		0.033737883	
LOC118262024								0.0	0.0		0.0		0.026054133	
LOC118262025								0.12211311	0.0		0.0		0.0818933	
LOC118262026								0.0	0.0		0.0		0.012420966	
LOC118262027								0.01667314	0.0		0.0		0.0	
LOC118262029								3.8141117	3.1688688		1.1262972		3.1727679	
LOC118262031								0.22372304	0.0		0.0		0.0	
LOC118262034								0.09100271	0.054683305		0.0		0.0028175903	
LOC118262035								0.42483097	5.3228335		0.0		0.0	
LOC118262038								0.08267906	2.1374233		2.107251		0.10632954	
LOC118262039								2.066756	2.2852736		1.9647884		3.6633654	
LOC118262040								0.0	1.2215506		3.886059		4.1161594	
LOC118262043								1.1976019	0.0		0.0		0.8354163	
LOC118262045								0.0	0.0603887		0.0		0.09574051	
LOC118262046								5.054269	5.1268096		3.9874322		3.4146016	
LOC118262047								0.06791518	0.034136843		0.0		0.020903153	
LOC118262048								4.8042045	3.9561346		1.0072535		1.5307231	
LOC118262050								0.07717593	0.04653054		0.0		0.2247177	
LOC118262053								4.7902184	2.2859473		1.7984773		1.9063781	
LOC118262054								3.086474	3.66859		1.8953478		5.5912967	
LOC118262055								11.237702	11.084919		10.921698		11.354276	
LOC118262056								3.3210986	5.7928		6.2615495		6.1231546	
LOC118262057								0.054688606	8.164466		0.23242635		0.0224899	
LOC118262058								6.0195956	6.618989		4.2821636		6.2867675	
LOC118262060								0.686201	0.6589908		0.058758244		1.5143052	
LOC118262062								0.0	8.883983		0.26394024		0.027566725	
LOC118262063								0.17306054	0.0		0.0		0.0	
